target_weekly,target_monthly,target_yearly
16.105263,17.137932,13.233767
7.0,29.632,91.44827
2.511628,27.48276,33.088436
6.3088236,9.588235,3.0697675
8.12766,17.782608,0.9039341
31.337662,31.777779,68.66038
9.870968,1.92,4.0524864
42.75714,12.578947,51.916363
0.24939759,4.1153846,84.521736
51.42105,1.8946207,22.117594
30.619047,39.39796,3.264706
0.54,24.0,0.9894046
27.490566,28.208956,16.3
35.57895,8.89404,60.555557
27.363636,1.2765273,38.2449
17.137932,15.3,19.473068
23.434782,39.47619,2.9230769
17.97279,20.2,78.5
42.133335,9.870968,106.65306
4.0,31.337662,62.63158
55.008286,8.12766,26.056292
38.63158,2.511628,2.7012196
4.690759,7.0,12.0625
21.586206,6.3088236,57.32
5.7967916,2.7081428,1.5819936
12.168421,32.039474,75.86207
66.034485,3.8993902,105.64445
46.182156,19.837017,98.343285
1.4227217,21.02463,43.212765
6.317897,8.976191,29.052631
0.91238505,20.526316,23.5
22.630253,1.6756322,19.214285
42.9,32.904762,27.214546
1.315338,17.447369,31.51724
10.0,15.416357,0.9929775
28.722221,15.566503,20.545454
18.995316,16.617647,33.894737
12.041062,1.0890737,0.8956193
7.8875256,16.205883,22.24
11.263158,35.434784,5.7272725
4.6292334,37.166668,11.6470585
6.5959516,12.826087,31.380953
23.490705,31.142857,22.918367
4.0,1.9299611,23.421053
0.9550562,21.96,7.6666665
27.61111,29.724138,19.771523
16.448277,7.909172,18.180328
6.5588236,50.728573,4.029412
20.526316,1.7339902,14.475837
15.655172,6.547619,12.009814
32.904762,26.833334,2.5875487
17.447369,2.1569507,14.434783
15.416357,6.629032,1.3247589
15.566503,7.7301526,22.27848
9.090909,0.95486933,32.485714
1.0890737,18.502415,7.0607734
7.909172,8.785714,2.7042682
35.434784,1.7198443,24.0
37.166668,3.2846715,23.3
12.826087,18.891304,15.710526
31.142857,12.530612,1.7194886
1.9299611,11.270719,43.869564
4.10219,14.616,0.75630677
16.205883,32.873417,36.018867
21.96,15.756303,29.477478
0.95486933,22.608696,7.7894735
12.924697,1.2347214,27.65306
12.591837,9.733334,9.836735
0.49156627,12.924697,0.29156625
18.391304,4.10219,31.287037
17.421053,12.591837,3.2480621
15.3,13.142858,59.264706
12.578947,17.421053,74.26087
4.1153846,39.057144,6.6059113
1.8946207,25.130434,39.39706
39.39796,3.046792,2.7272727
24.0,2.2182362,93.7381
28.208956,29.619047,0.33734939
8.89404,8.080646,6.1190476
1.2765273,7.3333335,100.666664
20.2,12.6776,5.7651114
39.47619,41.5283,5.39508
8.976191,2.3004925,85.1579
21.02463,7.0,89.41441
19.837017,37.9009,82.391304
3.8993902,39.69388,7.3226275
32.039474,37.987343,9.357142
13.142858,15.655172,1.6230558
1.92,0.49156627,2.3101215
31.777779,9.090909,5.693548
2.7081428,9.679215,77.3
9.588235,7.8875256,4.627451
17.782608,0.9550562,2.2720478
25.130434,27.61111,2.7189837
3.046792,18.995316,5.329768
2.2182362,22.630253,1.1888567
29.619047,42.9,12.862069
8.080646,1.315338,36.636364
7.3333335,10.0,1.3610451
12.6776,28.722221,11.286245
39.057144,6.5588236,28.166666
